MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,Age,BikeBuyer
M,M,81916,1,0,Bachelors,Clerical,1,3,37,1
M,M,81076,2,1,Partial College,Clerical,1,2,53,1
S,F,86387,0,0,Bachelors,Clerical,0,3,39,1
M,M,61481,2,1,Partial College,Skilled Manual,1,2,47,1
S,M,51804,0,0,Partial College,Skilled Manual,1,1,50,1
M,F,61944,2,2,High School,Skilled Manual,1,2,50,1
S,M,34919,0,0,Partial College,Manual,1,1,53,1
M,F,61832,0,0,Partial College,Skilled Manual,0,1,28,1
M,F,83834,2,0,Partial College,Clerical,1,0,48,1
S,M,26880,0,0,High School,Manual,0,1,48,1
S,F,77258,0,0,Partial College,Clerical,0,1,26,1
M,M,102698,0,0,Bachelors,Management,1,3,44,1
M,F,108198,2,1,Bachelors,Management,1,1,40,1
M,M,133762,2,0,Bachelors,Professional,1,2,65,1
S,M,30526,0,0,Partial High School,Manual,0,1,34,1
S,M,30526,0,0,Partial High School,Manual,0,1,34,1
M,F,56353,2,0,Partial College,Skilled Manual,1,2,54,1
S,F,79019,1,1,High School,Clerical,1,3,60,1
S,M,55387,0,0,Partial College,Skilled Manual,0,2,32,1
M,M,113276,2,0,Bachelors,Management,1,2,44,1
S,M,109259,1,0,Partial College,Management,1,1,62,1
M,F,83845,2,0,High School,Clerical,1,0,45,1
M,F,59527,2,2,High School,Skilled Manual,1,0,48,1
S,M,108360,1,0,Bachelors,Management,1,1,63,1
M,M,87504,0,0,Partial College,Clerical,0,1,28,1
M,F,55461,0,0,Bachelors,Skilled Manual,0,0,32,1
S,F,137464,0,0,Bachelors,Professional,1,2,36,1
M,M,87676,1,0,High School,Clerical,1,2,35,1
M,M,104187,2,0,Bachelors,Management,1,3,59,1
S,M,78222,0,0,Bachelors,Clerical,0,1,42,1
M,F,77383,1,0,Graduate Degree,Clerical,1,2,38,1
M,F,60700,2,2,High School,Skilled Manual,1,1,40,1
S,F,30913,0,0,High School,Manual,0,0,44,1
S,F,86952,0,0,Partial College,Clerical,1,2,46,1
M,M,58567,2,1,Graduate Degree,Skilled Manual,1,2,47,1
M,M,77478,0,0,Partial College,Clerical,0,0,27,1
M,M,78406,1,0,Bachelors,Clerical,1,2,37,1
S,M,85318,0,0,Partial College,Clerical,0,1,34,1
S,F,52928,0,0,High School,Skilled Manual,0,0,29,1
S,F,79224,0,0,Bachelors,Clerical,0,2,38,1
M,M,33076,1,0,Partial College,Manual,0,0,42,1
M,F,56641,2,0,High School,Skilled Manual,1,1,39,1
M,M,27203,1,0,High School,Manual,1,0,42,1
S,F,77098,0,0,High School,Clerical,0,3,38,1
M,M,103200,2,2,Bachelors,Management,1,3,36,1
S,F,53784,0,0,Bachelors,Skilled Manual,0,2,40,1
S,F,25826,0,0,Partial College,Manual,0,1,51,1
M,M,30925,1,1,High School,Manual,1,0,43,1
M,F,30288,2,1,Partial High School,Manual,1,1,54,1
S,M,34685,0,0,Bachelors,Manual,0,0,40,1
M,F,58213,1,1,Graduate Degree,Skilled Manual,0,1,36,1
S,M,108342,0,0,Partial College,Management,0,0,29,1
M,F,130385,1,1,Bachelors,Professional,1,2,38,1
S,F,58227,0,0,Partial College,Skilled Manual,0,2,40,1
S,M,52156,0,0,Partial College,Skilled Manual,0,1,30,1
S,M,131458,0,0,Graduate Degree,Professional,1,2,39,1
S,M,33510,0,0,Partial College,Manual,0,1,27,1
S,F,56785,1,0,High School,Skilled Manual,1,1,58,1
S,F,58201,0,0,Partial College,Skilled Manual,0,1,31,1
M,F,82359,1,0,Bachelors,Clerical,1,2,40,1
M,F,82359,1,0,Bachelors,Clerical,1,2,40,1
M,F,55654,2,1,Partial High School,Skilled Manual,1,2,60,1
M,M,33167,2,1,High School,Manual,1,1,45,1
S,F,107883,1,0,Partial College,Management,1,3,59,1
M,F,80056,2,2,High School,Clerical,1,1,68,1
S,M,54577,0,0,Partial High School,Skilled Manual,0,2,40,1
M,M,36070,1,1,Bachelors,Manual,0,0,38,1
M,M,54049,2,1,Bachelors,Skilled Manual,1,2,41,1
S,M,112726,0,0,Partial College,Management,0,1,26,1
M,M,29749,2,0,Partial College,Manual,1,1,54,1
M,M,56820,2,2,Bachelors,Skilled Manual,1,2,47,1
S,F,102647,0,0,Partial College,Management,1,3,55,1
S,F,82258,0,0,Partial College,Clerical,0,2,29,1
M,M,54200,2,2,High School,Skilled Manual,1,1,48,1
S,F,60908,0,0,Partial College,Skilled Manual,0,2,29,1
S,M,105007,0,0,Bachelors,Management,1,2,38,1
M,F,32319,1,1,High School,Manual,1,0,48,1
S,M,52311,0,0,Partial College,Skilled Manual,0,1,43,1
S,F,82851,0,0,Partial College,Clerical,1,2,44,1
M,M,29111,2,2,High School,Manual,1,1,54,1
M,M,81985,1,1,Graduate Degree,Clerical,1,1,37,1
S,F,33954,0,0,Partial High School,Manual,1,0,56,1
S,F,29016,0,0,Partial College,Manual,0,0,29,1
M,F,33152,2,1,High School,Manual,1,0,58,1
M,M,80331,2,2,Graduate Degree,Clerical,1,1,67,1
